expid,count,exp,start_second,alpha,use_data_perc,accuracy,time
239,28,1.05,70,0.001,0.500,0.7521003134796238,42970
240,28,1.1,70,0.001,0.500,0.7436969622432665,55293
241,28,1.2,70,0.001,0.500,0.7798323471400395,38125
242,48,1.02,70,0.001,0.500,0.7579010856453559,73275
243,48,1.05,70,0.001,0.500,0.7985415894203436,88888
244,48,1.1,70,0.001,0.500,0.7466079941327466,57822
245,8,1.02,10,0.010,0.330,0.8241385803050273,9174
246,8,1.05,10,0.010,0.330,0.811558734939759,8831
247,8,1.1,10,0.010,0.330,0.8172185430463577,10148
248,8,1.2,10,0.010,0.330,0.834795594549188,9212
249,8,1.3,10,0.010,0.330,0.8306182895223991,10648
250,8,1.35,10,0.010,0.330,0.8271513353115727,12066
251,8,1.375,10,0.010,0.330,0.827037037037037,11653
252,8,1.4,10,0.010,0.330,0.820536540240518,11661
253,8,1.425,10,0.010,0.330,0.8368794326241135,10565
254,8,1.45,10,0.010,0.330,0.8526529857644666,12186
255,8,1.5,10,0.010,0.330,0.8498713708195517,11084
256,8,1.7,10,0.010,0.330,0.8290454884414616,12394
257,8,1.85,10,0.010,0.330,0.8637959711698392,13269
258,8,2.0,10,0.010,0.330,0.803205367126351,14130
259,8,2.2,10,0.010,0.330,0.8044259504444865,18962
260,8,2.4,10,0.010,0.330,0.7562594840667678,11624
261,16,1.02,10,0.010,0.330,0.8146098505810736,22021
262,16,1.05,10,0.010,0.330,0.8227533460803059,20925
263,16,1.1,10,0.010,0.330,0.8186072631973044,22348
264,16,1.2,10,0.010,0.330,0.8540845070422535,29786
265,16,1.3,10,0.010,0.330,0.8278948349804214,19889
266,16,1.35,10,0.010,0.330,0.8358264081255771,31271
267,16,1.375,10,0.010,0.330,0.8305180180180181,23025
268,16,1.4,10,0.010,0.330,0.7910940076965366,21782
269,16,1.425,10,0.010,0.330,0.7342995169082126,21359
270,16,1.45,10,0.010,0.330,0.8185248066402565,18289
271,16,1.5,10,0.010,0.330,0.770127504553734,20443
272,28,1.02,10,0.010,0.330,0.8363704677813263,34455
