expid,window_fn,count,exp_add,start_second,alpha,const_norm,use_data_perc,accuracy, time
1129,2,16,150,45,0.4,1,0.33,0.679010082493126,25531
808,2,28,60,45,0.1,0,0.2,0.679004467134652,18412
912,2,16,60,2,0.1,0,0.5,0.678958515011835,32256
679,1,8,1.1,20,0.1,1,0.5,0.678645897215749,13589
162,2,28,150,45,0.02,1,0.33,0.678477690288714,21087
618,2,16,150,20,0.1,1,0.33,0.678440029433407,19075
410,1,8,1.4,2,0.02,0,0.5,0.677970266617521,14379
791,1,8,1.4,45,0.1,0,0.2,0.677854454203262,6760
1104,2,16,150,20,0.4,1,0.33,0.677777777777778,22434
1029,2,28,150,20,0.4,1,0.2,0.677488514548239,15962
301,1,8,1.1,45,0.02,0,0.2,0.677051202961135,7389
368,1,16,1.2,20,0.02,0,0.33,0.676454086403591,28178
354,2,28,150,2,0.02,0,0.33,0.676420934158694,24257
490,1,8,1.35,2,0.1,1,0.2,0.676337262012693,5840
987,1,16,1.2,2,0.4,1,0.2,0.675903614457831,13492
261,1,16,1.4,2,0.02,0,0.2,0.675834363411619,15945
796,2,8,100,45,0.1,0,0.2,0.675609756097561,6812
774,1,16,1.3,20,0.1,0,0.2,0.675581025151226,19709
878,2,8,150,45,0.1,0,0.33,0.675308194343727,10437
1210,2,16,150,45,0.4,1,0.5,0.675211578560039,37045
353,2,28,100,2,0.02,0,0.33,0.674990751017388,24402
1227,2,8,100,2,0.4,0,0.2,0.674955062911923,6537
1445,2,8,150,45,0.4,0,0.5,0.674931812546491,18538
457,1,28,1.1,20,0.02,0,0.5,0.674881752551655,45995
76,2,16,150,45,0.02,1,0.2,0.674454349830925,12625
1185,2,16,150,20,0.4,1,0.5,0.674375691967032,29394
886,2,16,150,45,0.1,0,0.33,0.674184085075174,22178
1457,2,28,100,45,0.4,0,0.5,0.674171202375062,41185
111,2,28,150,2,0.02,1,0.33,0.674061748936957,22966
272,2,28,100,2,0.02,0,0.2,0.673946478006767,16718
253,2,8,10,2,0.02,0,0.2,0.673632452366318,6169
330,1,8,1.45,2,0.02,0,0.33,0.67360594795539,9385
831,2,16,60,2,0.1,0,0.33,0.673600605143722,24732
405,2,28,150,45,0.02,0,0.33,0.673588823862564,22457
1265,2,16,100,20,0.4,0,0.2,0.672950047125353,15846
248,1,8,1.4,2,0.02,0,0.2,0.672698907956318,6688
1375,2,28,60,45,0.4,0,0.33,0.672537878787879,30017
349,1,28,1.2,2,0.02,0,0.33,0.672481710748452,31117
797,2,8,150,45,0.1,0,0.2,0.672361195851129,7965
80,2,28,100,45,0.02,1,0.2,0.672307692307692,15279
435,2,28,150,2,0.02,0,0.5,0.672274143302181,31357
420,1,16,1.2,2,0.02,0,0.5,0.672044982276005,36909
826,1,16,1.3,2,0.1,0,0.33,0.672038980509745,18790
1418,2,8,100,20,0.4,0,0.5,0.671838443541436,19158
1076,2,16,150,2,0.4,1,0.33,0.671594311377245,25036
213,2,16,150,20,0.02,1,0.5,0.671311989956058,25629
979,1,8,1.7,2,0.4,1,0.2,0.671292013567684,6254
590,2,16,150,2,0.1,1,0.33,0.671133445002792,19978
351,2,28,10,2,0.02,0,0.33,0.671015314804311,30612
740,2,8,60,2,0.1,0,0.2,0.670609645131938,8589
465,1,8,1.3,45,0.02,0,0.5,0.67045177045177,17378
282,2,8,10,20,0.02,0,0.2,0.670443814919736,7048
